episode,max_tile,score,avg_max_log_500,rate_2048_500,rate_4096_500,eps_per_sec
83000,2048,36772,11.602,0.8840,0.6760,48.2
83200,2048,38388,11.584,0.8840,0.6720,48.2
83400,4096,96624,11.620,0.8940,0.6780,48.1
83600,4096,69724,11.664,0.9080,0.6840,48.1
83800,4096,72568,11.660,0.9060,0.6800,48.0
84000,4096,81956,11.676,0.8900,0.7080,48.0
84200,1024,14580,11.626,0.8820,0.6840,48.0
84400,4096,55668,11.598,0.8820,0.6700,47.9
84600,2048,45156,11.556,0.8760,0.6380,47.9
84800,4096,59292,11.602,0.8980,0.6480,47.9
85000,1024,13480,11.656,0.9000,0.6780,47.8
85200,2048,39440,11.640,0.8920,0.6760,47.8
85400,2048,38716,11.620,0.8880,0.6720,47.7
85600,8192,113300,11.592,0.8900,0.6500,47.7
85800,4096,75560,11.614,0.8840,0.6700,47.7
86000,4096,60276,11.650,0.8980,0.6760,47.7
86200,4096,50404,11.672,0.8980,0.7000,47.6
86400,4096,82136,11.644,0.8900,0.6960,47.6
86600,2048,55788,11.598,0.8840,0.6500,47.6
86800,2048,36496,11.630,0.9000,0.6640,47.5
87000,2048,26168,11.666,0.9100,0.6820,47.5
87200,2048,46780,11.684,0.9120,0.6980,47.5
87400,4096,64300,11.696,0.9060,0.6920,47.4
87600,4096,65296,11.664,0.8920,0.6880,47.4
87800,2048,36036,11.654,0.8920,0.6800,47.3
88000,1024,14608,11.622,0.8880,0.6720,47.3
88200,4096,81244,11.596,0.8900,0.6540,47.3
88400,4096,60052,11.628,0.8900,0.6640,47.2
88600,2048,34012,11.636,0.8960,0.6820,47.2
88800,1024,16264,11.652,0.9020,0.7040,47.2
89000,4096,80508,11.654,0.8860,0.7040,47.1
89200,2048,31800,11.668,0.8860,0.7020,47.1
89400,4096,80532,11.692,0.9040,0.6920,47.1
89600,4096,80624,11.700,0.9160,0.6940,47.0
89800,8192,130940,11.654,0.9020,0.6900,47.0
90000,4096,118460,11.584,0.8820,0.6720,47.0
90200,2048,36104,11.596,0.8820,0.6700,47.0
90400,1024,16768,11.602,0.8780,0.6760,46.9
90600,1024,21752,11.632,0.8940,0.6760,46.9
90800,4096,85344,11.664,0.9100,0.6880,46.9
91000,1024,16400,11.648,0.8820,0.6820,46.9
91200,4096,69836,11.666,0.8920,0.6760,46.9
91400,4096,62288,11.694,0.9040,0.6940,46.8
91600,4096,67948,11.708,0.9080,0.7100,46.8
91800,4096,61608,11.724,0.9080,0.7180,46.8
92000,2048,35484,11.664,0.9020,0.6760,46.8
92200,2048,47480,11.614,0.8800,0.6520,46.8
92400,2048,48232,11.614,0.8840,0.6460,46.7
92600,1024,25740,11.616,0.8880,0.6580,46.7
92800,4096,77136,11.658,0.9060,0.6720,46.7
93000,8192,153140,11.702,0.9040,0.7000,46.7
93200,1024,20028,11.684,0.8840,0.7060,46.7
93400,4096,76924,11.694,0.8900,0.7220,46.6
93600,8192,103884,11.680,0.8900,0.7000,46.6
93800,4096,97576,11.678,0.9080,0.6800,46.6
94000,4096,81972,11.700,0.9200,0.6860,46.6
